PCIR
App Issue | App Lag issue | T/S Shared - Asked to Retry
App Issue | App Screen Stuck | T/S Shared - Asked to Retry
App Issue | L2J: App Lag issue | After wait time - Escalated to Tech
App Issue | L2J: App Screen Stuck | After wait time - Escalated to Tech
App Issue | L2J: non-responsive CTA | After wait time - Escalated to Tech
App Issue | L2J: OTP Related | After wait time - Escalated to Tech
App Issue | non-responsive CTA | T/S Shared - Asked to Retry
App Issue | OTP not coming | T/S Shared - Asked to Retry
Bill Payments-Info & Details | Can I add/delete biller? | Informed about adding/deleting
Bill Payments-Info & Details | Can i set reminder in BBPS | Currently process not available
Bill Payments-Info & Details | How to initiate BBPS payment | Informed about process flow
"Bill Payments-Info & Details | Never linked merchant, bill appears in app | Informed about deleting"
Bill Payments-Info & Details | Other Enquiry | Others
Bill Payments-Transaction | Fraud and Suspicious Transaction |
Bill Payments-Transaction | Refund not initiated-post TAT | L2C: Refund issue
Bill Payments-Transaction | Refund not initiated-within TAT | Advised to wait till TAT
Bill Payments-Transaction | Txn Enquiry - Within TAT | Advised to wait till TAT
Bill Payments-Transaction | Txn Failed - Post TAT | L2C: Txn failed issue
Bill Payments-Transaction | Txn Processing - Post TAT | L2J: Txn in processing issue
Bill Payments-Transaction | Txn Successful - Post TAT | L2C: Disputing successful txn issue
Bill Payments-Transaction | Unable to pay bill | L2J: Unable to pay
BT - Activation | Standing Instruction Enquiry | Informed about process flow
BT - Activation | Standing Instruction Issues | L2C: Standing Instruction Issue
BT - Beneficiary | Payee Activation | L2C: Payee Activation Issue
BT - Beneficiary | Payee Addition Enquiry | Guided through steps
BT - Beneficiary | Payee Removal | L2C: Payee Removal Issue
BT - Incoming Transaction | Incorrect Transaction Received | L2C: Incorrect txn issue
BT - Incoming Transaction | Refund Issue | L2C: Refund issue
BT - Incoming Transaction | Transaction Status Enquiry | No visibility/request for proof
BT - Incoming Transaction | Txn not found | L2C: IMPS txn failed issue
BT - Incoming Transaction | Txn not found | L2C: NEFT/RTGS - txn failed issue
BT - Info & Details | Directed to DMP | Guided through DMP flow
"BT - Info & Details | Features ,Charges & Limits Enquiry | Informed about features/charges/limits"
BT - Outgoing txn | Chargeback Related enquiry | Informed about TAT
BT - Outgoing txn | DMP Post TAT | L2C: DMP Update
BT - Outgoing txn | DMP Update | Guided through DMP steps
BT - Outgoing txn | Fraud and Suspicious Transaction | Informed about txn status
BT - Outgoing txn | IMPS txn failed | L2C: IMPS txn failed issue
BT - Outgoing txn | Invalid IFSC code | L2J: Invalid IFSC code issue
BT - Outgoing txn | Merchant refund delay | L2C: Merchant refund delay issue
BT - Outgoing txn | mPIN Related | Guided through the steps
BT - Outgoing txn | NEFT/RTGS - txn failed | L2C: NEFT/RTGS - txn failed issue
BT - Outgoing txn | Refund Enquiry money debited | Informed about TAT
BT - Outgoing txn | Refund not received | L2C: Refund issue
BT - Outgoing txn | Requesting UTR num | L2C: Requesting UTR num issue
BT - Outgoing txn | Suspicious/fraud txn | L2C: Chargeback for suspicious/fraud txn issue
BT - Outgoing txn | Transacting within limit | L2J: Transacting within limit issue
BT - Outgoing txn | Transaction Failed | Informed IMPS failure reasons
BT - Outgoing txn | Transaction Failed | Informed NEFT/RTGS failure reasons
BT - Outgoing txn | Transaction Status Enquiry | Informed about txn status
BT - Outgoing txn | Unable to initiate txn | L2J: Unable to initiate txn issue
BT - Outgoing txn | UTR enquiry | UTR Number Shared
BT - Outgoing txn | Wrong transfer | L2C: Chargeback for wrong transfer issue
DC - AMC related | AMC a/c closure enquiry | Provided a/c closure details
DC - AMC related | AMC double debit | L2C: Escalated to bank
DC - AMC related | AMC enquiry | Explained about AMC
DC - AMC related | Incorrectly Charged | L2J : AMC Incorrectly Charged
DC - AMC related | Refund Delay | L2J : AMC_Refund Delay Issue
DC - AMC related | Refund request | AMC Refund enquiry
DC - AMC related | Refund request | AMC Refund Status Enquiry
DC - AMC related | Refund request | L2C: AMC Refund Request
DC - AMC related | Refund request | L2J : AMC_Unable to Refund Issue
DC - ATM Transaction | ATM withdrawal | L2J: ATM withdrawal issue
DC - ATM Transaction | ATM Withdrawal charges | L2C: ATM Withdrawal charges issue
DC - ATM Transaction | DC Not Accepted Issue | Informed about merchant list
DC - ATM Transaction | No cash/partial cash dispensed | L2C: No cash/partial cash dispensed issue
DC - ATM Transaction | Refund not received | Advise to raise DMP post 5 days
DC - ATM Transaction | Suspicious/Fraud txn | Informed about process flow
DC - ATM Transaction | Suspicious/Fraud txn | L2C: Chargeback for suspicious/fraud txn issue
DC - ATM Transaction | Transaction Failed | Informed about failed reasons
DC - ATM Transaction | Transaction Failed | L2J: Transaction Failed
DC - DC Usage | Damaged DC enquiry | Informed about process flow
DC - DC Usage | DC name issue | Informed about process steps
DC - DC Usage | DC name issue | L2J: DC name issue
DC - DC Usage | DC PIN related | Informed about DC pin setting steps
DC - DC Usage | DC PIN related | L2J: DC PIN related issue
DC - DC Usage | Failed txn charges | Informed about failed Txn Charges
DC - DC Usage | Failed txn charges | L2J: Failed txn charges issue
DC - DC Usage | Virtual DC - Generation enquiry | Informed about process flow
DC - DC Usage | Virtual DC - Generation issue | L2J: Generating virtual DC
DC - Delivery Escalation | DC delay | L2C: DC delay delivery issue
DC - Delivery Escalation | DC disputing delivery | L2C: DC disputing delivery issue
DC - Delivery Escalation | DC not delivered | L2C: DC not delivered issue
DC - Delivery Escalation | DC refund | L2J: DC refund issue
